L B S I Q
4 6 6 6 6
4 6 6 6 6
4 6 6 7 6
4 6 6 5 6
4 6 6 5 6
4 6 6 5 4
4 6 6 5 5
4 6 6 4 4
4 6 6 5 4
4 6 6 6 6
4 6 6 5 4
4 6 6 6 4
4 6 6 6 4
4 6 6 9 6
4 6 6 6 4
4 6 6 5 5
4 6 6 5 4
4 6 6 5 4
4 6 6 5 6
4 6 6 4 4
4 6 6 6 6
4 6 6 5 6
4 6 6 8 6
4 6 6 6 4
4 6 6 4 6
4 6 6 5 6
4 6 6 3 6
4 6 6 6 6
4 6 6 5 4
4 6 6 6 6
8 28 28 19 18
8 28 28 11 16
8 28 28 10 14
8 28 28 26 23
8 28 28 26 24
8 28 28 20 15
8 28 28 29 17
8 28 28 22 15
8 28 28 11 14
8 28 28 20 22
8 28 28 16 15
8 28 28 23 15
8 28 28 27 18
8 28 28 20 15
8 28 28 26 22
8 28 28 19 14
8 28 28 16 13
8 28 28 20 16
8 28 28 16 13
8 28 28 14 15
8 28 28 18 20
8 28 28 21 15
8 28 28 20 23
8 28 28 23 15
8 28 28 20 21
8 28 28 19 14
8 28 28 23 16
8 28 28 19 19
8 28 28 15 14
8 28 28 19 18
16 120 120 91 51
16 120 120 61 54
16 120 120 68 44
16 120 120 75 55
16 120 120 81 46
16 120 120 84 77
16 120 120 79 43
16 120 120 90 46
16 120 120 96 50
16 120 120 79 52
16 120 120 74 51
16 120 120 67 48
16 120 120 54 42
16 120 120 60 47
16 120 120 66 50
16 120 120 83 47
16 120 120 73 50
16 120 120 69 48
16 120 120 52 50
16 120 120 72 41
16 120 120 82 46
16 120 120 66 48
16 120 120 69 45
16 120 120 65 69
16 120 120 43 45
16 120 120 70 51
16 120 120 89 70
16 120 120 76 52
16 120 120 78 51
16 120 120 77 57
32 496 496 278 134
32 496 496 268 141
32 496 496 266 124
32 496 496 276 130
32 496 496 267 128
32 496 496 273 134
32 496 496 289 124
32 496 496 242 132
32 496 496 251 112
32 496 496 244 124
32 496 496 254 131
32 496 496 246 135
32 496 496 248 147
32 496 496 198 136
32 496 496 295 147
32 496 496 207 116
32 496 496 271 120
32 496 496 266 134
32 496 496 317 151
32 496 496 275 145
32 496 496 255 133
32 496 496 275 121
32 496 496 208 137
32 496 496 304 143
32 496 496 244 119
32 496 496 274 145
32 496 496 228 164
32 496 496 233 136
32 496 496 244 133
32 496 496 244 121
64 2016 2016 1003 391
64 2016 2016 1079 337
64 2016 2016 1042 337
64 2016 2016 1046 393
64 2016 2016 1008 333
64 2016 2016 1210 388
64 2016 2016 988 316
64 2016 2016 940 425
64 2016 2016 1047 353
64 2016 2016 887 382
64 2016 2016 1105 323
64 2016 2016 1085 328
64 2016 2016 1036 441
64 2016 2016 958 437
64 2016 2016 1015 323
64 2016 2016 1063 361
64 2016 2016 1096 326
64 2016 2016 1079 387
64 2016 2016 1071 348
64 2016 2016 1036 373
64 2016 2016 963 439
64 2016 2016 1142 353
64 2016 2016 1093 358
64 2016 2016 906 331
64 2016 2016 992 350
64 2016 2016 942 359
64 2016 2016 1159 340
64 2016 2016 973 366
64 2016 2016 1055 421
64 2016 2016 894 375
128 8128 8128 4286 839
128 8128 8128 4101 917
128 8128 8128 3869 877
128 8128 8128 4066 850
128 8128 8128 3783 787
128 8128 8128 4286 1028
128 8128 8128 4172 881
128 8128 8128 4255 821
128 8128 8128 4035 959
128 8128 8128 4111 846
128 8128 8128 4394 841
128 8128 8128 4479 811
128 8128 8128 4333 870
128 8128 8128 3924 828
128 8128 8128 4062 818
128 8128 8128 4309 963
128 8128 8128 4290 854
128 8128 8128 3708 772
128 8128 8128 3981 837
128 8128 8128 4128 870
128 8128 8128 4196 905
128 8128 8128 3904 907
128 8128 8128 4089 1014
128 8128 8128 3845 830
128 8128 8128 4219 887
128 8128 8128 3899 959
128 8128 8128 4194 870
128 8128 8128 4139 842
128 8128 8128 4084 867
128 8128 8128 4157 892
256 32640 32640 16232 2420
256 32640 32640 15602 2010
256 32640 32640 16689 2034
256 32640 32640 16102 1910
256 32640 32640 15944 2200
256 32640 32640 16414 2090
256 32640 32640 15579 2107
256 32640 32640 17175 2103
256 32640 32640 16554 2278
256 32640 32640 16751 2133
256 32640 32640 17734 1932
256 32640 32640 15994 2145
256 32640 32640 15147 2007
256 32640 32640 17624 2462
256 32640 32640 16703 2113
256 32640 32640 16111 2025
256 32640 32640 17445 1945
256 32640 32640 16961 2012
256 32640 32640 16834 2167
256 32640 32640 15688 2040
256 32640 32640 16617 2110
256 32640 32640 15889 2013
256 32640 32640 16427 2189
256 32640 32640 15705 2091
256 32640 32640 14608 2093
256 32640 32640 17500 1950
256 32640 32640 16665 2041
256 32640 32640 17131 1943
256 32640 32640 16133 2025
256 32640 32640 15717 2180
512 130816 130816 63919 4664
512 130816 130816 63228 5875
512 130816 130816 66754 4880
512 130816 130816 65108 5744
512 130816 130816 65781 5009
512 130816 130816 70425 5341
